Home for # of Players,Home for Average Age,Home for Possession,Home for Goals,Home for Assists,Home for Goals + Assists,Home for Non-Penalty Goals,Home for Penalty Kicks Made,Home for Penalty Kicks Attempted,Home for Yellow Cards,Home for Red Cards,Home for xG,Home for Non-Penalty xG,Home for xAG,Home for npxG + xAG,Home for Progressive Carries,Home for Progressive Passes,Home for Goals/90,Home for Assists/90,Home for Goals + Assists/90,Home for Non-Penalty Goals/90,Home for Non-Penalty Goals + Assists/90,Home for xG/90,Home for xAG/90,Home for xG + xAG/90,Home for npxG/90,Home for npxG + xAG/90,Home against # of Players,Home against Average Age,Home against Possession,Home against Goals,Home against Assists,Home against Goals + Assists,Home against Non-Penalty Goals,Home against Penalty Kicks Made,Home against Penalty Kicks Attempted,Home against Yellow Cards,Home against Red Cards,Home against xG,Home against Non-Penalty xG,Home against xAG,Home against npxG + xAG,Home against Progressive Carries,Home against Progressive Passes,Home against Goals/90,Home against Assists/90,Home against Goals + Assists/90,Home against Non-Penalty Goals/90,Home against Non-Penalty Goals + Assists/90,Home against xG/90,Home against xAG/90,Home against xG + xAG/90,Home against npxG/90,Home against npxG + xAG/90,Away for # of Players,Away for Average Age,Away for Possession,Away for Goals,Away for Assists,Away for Goals + Assists,Away for Non-Penalty Goals,Away for Penalty Kicks Made,Away for Penalty Kicks Attempted,Away for Yellow Cards,Away for Red Cards,Away for xG,Away for Non-Penalty xG,Away for xAG,Away for npxG + xAG,Away for Progressive Carries,Away for Progressive Passes,Away for Goals/90,Away for Assists/90,Away for Goals + Assists/90,Away for Non-Penalty Goals/90,Away for Non-Penalty Goals + Assists/90,Away for xG/90,Away for xAG/90,Away for xG + xAG/90,Away for npxG/90,Away for npxG + xAG/90,Away against # of Players,Away against Average Age,Away against Possession,Away against Goals,Away against Assists,Away against Goals + Assists,Away against Non-Penalty Goals,Away against Penalty Kicks Made,Away against Penalty Kicks Attempted,Away against Yellow Cards,Away against Red Cards,Away against xG,Away against Non-Penalty xG,Away against xAG,Away against npxG + xAG,Away against Progressive Carries,Away against Progressive Passes,Away against Goals/90,Away against Assists/90,Away against Goals + Assists/90,Away against Non-Penalty Goals/90,Away against Non-Penalty Goals + Assists/90,Away against xG/90,Away against xAG/90,Away against xG + xAG/90,Away against npxG/90,Away against npxG + xAG/90,Home Outcome Score,Away Outcome Score,Home Outcome XG,Away Outcome XG
26.0,27.5,48.0,36.0,30.0,66.0,32.0,4.0,5.0,93.0,7.0,39.4,35.5,28.2,63.7,545.0,1356.0,0.95,0.79,1.74,0.84,1.63,1.04,0.74,1.78,0.93,1.68,26.0,27.4,52.0,40.0,29.0,69.0,39.0,1.0,4.0,81.0,9.0,45.7,42.5,34.8,77.4,680.0,1371.0,1.05,0.76,1.82,1.03,1.79,1.2,0.92,2.12,1.12,2.04,26.0,27.5,48.0,36.0,30.0,66.0,32.0,4.0,5.0,93.0,7.0,39.4,35.5,28.2,63.7,545.0,1356.0,0.95,0.79,1.74,0.84,1.63,1.04,0.74,1.78,0.93,1.68,35.0,27.3,47.4,51.0,40.0,91.0,49.0,2.0,3.0,95.0,8.0,54.2,51.8,42.0,93.7,643.0,1275.0,1.34,1.05,2.39,1.29,2.34,1.43,1.1,2.53,1.36,2.47,2.0,1.0,1.5,0.9
26.0,26.7,50.2,41.0,31.0,72.0,39.0,2.0,3.0,85.0,6.0,42.8,40.4,30.9,71.4,704.0,1403.0,1.08,0.82,1.89,1.03,1.84,1.13,0.81,1.94,1.06,1.88,26.0,27.6,49.8,52.0,35.0,87.0,47.0,5.0,8.0,112.0,9.0,45.5,39.3,30.6,69.8,536.0,1297.0,1.37,0.92,2.29,1.24,2.16,1.2,0.8,2.0,1.03,1.84,26.0,26.7,50.2,41.0,31.0,72.0,39.0,2.0,3.0,85.0,6.0,42.8,40.4,30.9,71.4,704.0,1403.0,1.08,0.82,1.89,1.03,1.84,1.13,0.81,1.94,1.06,1.88,33.0,27.6,56.9,67.0,47.0,114.0,62.0,5.0,6.0,111.0,8.0,59.8,55.3,44.6,99.8,748.0,1634.0,1.76,1.24,3.0,1.63,2.87,1.57,1.17,2.75,1.45,2.63,2.0,2.0,0.4,1.1
36.0,27.4,48.7,32.0,24.0,56.0,29.0,3.0,4.0,94.0,6.0,38.6,35.5,28.4,63.9,610.0,1244.0,0.84,0.63,1.47,0.76,1.39,1.02,0.75,1.76,0.93,1.68,36.0,27.4,51.3,62.0,46.0,108.0,56.0,6.0,10.0,66.0,2.0,64.9,57.3,46.4,103.7,723.0,1486.0,1.63,1.21,2.84,1.47,2.68,1.71,1.22,2.93,1.51,2.73,36.0,27.4,48.7,32.0,24.0,56.0,29.0,3.0,4.0,94.0,6.0,38.6,35.5,28.4,63.9,610.0,1244.0,0.84,0.63,1.47,0.76,1.39,1.02,0.75,1.76,0.93,1.68,32.0,27.2,43.1,39.0,29.0,68.0,35.0,4.0,4.0,105.0,5.0,50.3,47.2,36.2,83.3,640.0,1242.0,1.03,0.76,1.79,0.92,1.68,1.32,0.95,2.28,1.24,2.19,0.0,3.0,1.0,1.5
29.0,25.9,64.3,69.0,56.0,125.0,69.0,0.0,2.0,83.0,6.0,75.5,74.0,60.1,134.1,963.0,2180.0,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53,29.0,27.4,35.7,17.0,10.0,27.0,14.0,3.0,3.0,93.0,8.0,33.2,30.8,23.0,53.9,474.0,955.0,0.45,0.26,0.71,0.37,0.63,0.87,0.61,1.48,0.81,1.42,29.0,25.9,64.3,69.0,56.0,125.0,69.0,0.0,2.0,83.0,6.0,75.5,74.0,60.1,134.1,963.0,2180.0,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53,28.0,27.3,48.8,49.0,34.0,83.0,45.0,4.0,5.0,93.0,7.0,49.9,46.2,36.6,82.8,589.0,1231.0,1.29,0.89,2.18,1.18,2.08,1.31,0.96,2.28,1.22,2.18,0.0,0.0,1.9,0.5
38.0,29.1,41.9,29.0,20.0,49.0,25.0,4.0,5.0,116.0,7.0,41.6,37.7,27.8,65.5,475.0,969.0,0.76,0.53,1.29,0.66,1.18,1.09,0.73,1.82,0.99,1.72,38.0,27.2,58.1,53.0,32.0,85.0,44.0,9.0,10.0,100.0,11.0,61.4,53.6,38.2,91.8,823.0,1739.0,1.39,0.84,2.24,1.16,2.0,1.62,1.01,2.62,1.41,2.42,38.0,29.1,41.9,29.0,20.0,49.0,25.0,4.0,5.0,116.0,7.0,41.6,37.7,27.8,65.5,475.0,969.0,0.76,0.53,1.29,0.66,1.18,1.09,0.73,1.82,0.99,1.72,30.0,27.5,45.4,33.0,26.0,59.0,32.0,1.0,2.0,98.0,10.0,33.4,31.8,25.2,57.0,575.0,1025.0,0.87,0.68,1.55,0.84,1.53,0.88,0.66,1.54,0.84,1.5,0.0,1.0,0.2,1.5
28.0,24.2,52.0,40.0,23.0,63.0,35.0,5.0,8.0,92.0,8.0,49.3,43.0,32.5,75.5,786.0,1472.0,1.05,0.61,1.66,0.92,1.53,1.3,0.86,2.15,1.13,1.99,28.0,27.5,48.0,43.0,34.0,77.0,41.0,2.0,5.0,127.0,10.0,43.5,39.7,32.3,72.0,480.0,1225.0,1.13,0.89,2.03,1.08,1.97,1.14,0.85,1.99,1.04,1.89,28.0,24.2,52.0,40.0,23.0,63.0,35.0,5.0,8.0,92.0,8.0,49.3,43.0,32.5,75.5,786.0,1472.0,1.05,0.61,1.66,0.92,1.53,1.3,0.86,2.15,1.13,1.99,29.0,27.2,48.7,55.0,39.0,94.0,49.0,6.0,8.0,91.0,5.0,55.0,48.7,38.6,87.4,677.0,1439.0,1.45,1.03,2.47,1.29,2.32,1.45,1.02,2.46,1.28,2.3,1.0,0.0,1.6,0.1
29.0,26.4,45.1,49.0,33.0,82.0,47.0,2.0,3.0,98.0,4.0,45.5,43.2,32.5,75.6,569.0,1090.0,1.29,0.87,2.16,1.24,2.11,1.2,0.85,2.05,1.14,1.99,29.0,27.6,54.9,64.0,49.0,113.0,60.0,4.0,6.0,93.0,5.0,62.5,57.8,49.5,107.4,860.0,1706.0,1.68,1.29,2.97,1.58,2.87,1.65,1.3,2.95,1.52,2.83,29.0,26.4,45.1,49.0,33.0,82.0,47.0,2.0,3.0,98.0,4.0,45.5,43.2,32.5,75.6,569.0,1090.0,1.29,0.87,2.16,1.24,2.11,1.2,0.85,2.05,1.14,1.99,26.0,27.3,39.1,35.0,21.0,56.0,31.0,4.0,5.0,97.0,7.0,38.9,35.0,27.8,62.8,631.0,1189.0,0.92,0.55,1.47,0.82,1.37,1.02,0.73,1.76,0.92,1.65,1.0,2.0,0.7,2.1
26.0,27.4,51.6,46.0,33.0,79.0,41.0,5.0,7.0,81.0,5.0,54.2,48.7,38.9,87.6,864.0,1816.0,1.21,0.87,2.08,1.08,1.95,1.43,1.02,2.45,1.28,2.31,26.0,27.3,48.4,40.0,28.0,68.0,37.0,3.0,3.0,97.0,3.0,36.9,34.5,26.9,61.4,549.0,1211.0,1.05,0.74,1.79,0.97,1.71,0.97,0.71,1.68,0.91,1.62,26.0,27.4,51.6,46.0,33.0,79.0,41.0,5.0,7.0,81.0,5.0,54.2,48.7,38.9,87.6,864.0,1816.0,1.21,0.87,2.08,1.08,1.95,1.43,1.02,2.45,1.28,2.31,31.0,27.4,58.9,43.0,31.0,74.0,37.0,6.0,7.0,94.0,4.0,46.4,41.0,31.8,72.8,795.0,1706.0,1.13,0.82,1.95,0.97,1.79,1.22,0.84,2.06,1.08,1.92,0.0,0.0,1.6,0.4
25.0,27.4,39.9,34.0,21.0,55.0,29.0,5.0,8.0,125.0,9.0,36.7,30.4,22.5,53.0,365.0,1003.0,0.89,0.55,1.45,0.76,1.32,0.96,0.59,1.56,0.8,1.39,25.0,27.5,60.1,43.0,29.0,72.0,39.0,4.0,8.0,91.0,7.0,46.0,39.8,31.0,70.8,689.0,1519.0,1.13,0.76,1.89,1.03,1.79,1.21,0.82,2.03,1.05,1.86,25.0,27.4,39.9,34.0,21.0,55.0,29.0,5.0,8.0,125.0,9.0,36.7,30.4,22.5,53.0,365.0,1003.0,0.89,0.55,1.45,0.76,1.32,0.96,0.59,1.56,0.8,1.39,27.0,27.0,49.4,33.0,22.0,55.0,29.0,4.0,5.0,93.0,6.0,41.3,37.4,31.5,68.9,729.0,1634.0,0.87,0.58,1.45,0.76,1.34,1.09,0.83,1.92,0.98,1.81,0.0,3.0,0.7,1.2
30.0,28.6,50.6,43.0,26.0,69.0,35.0,8.0,9.0,82.0,15.0,51.8,44.8,35.1,79.9,620.0,1272.0,1.13,0.68,1.82,0.92,1.61,1.36,0.92,2.29,1.18,2.1,30.0,27.3,49.4,40.0,28.0,68.0,37.0,3.0,3.0,99.0,8.0,50.1,47.7,36.9,84.7,750.0,1571.0,1.05,0.74,1.79,0.97,1.71,1.32,0.97,2.29,1.26,2.23,30.0,28.6,50.6,43.0,26.0,69.0,35.0,8.0,9.0,82.0,15.0,51.8,44.8,35.1,79.9,620.0,1272.0,1.13,0.68,1.82,0.92,1.61,1.36,0.92,2.29,1.18,2.1,32.0,27.3,54.5,65.0,44.0,109.0,58.0,7.0,10.0,83.0,8.0,70.0,62.1,48.7,110.9,737.0,1615.0,1.71,1.16,2.87,1.53,2.68,1.84,1.28,3.13,1.64,2.92,3.0,0.0,3.1,0.4
