Home for # of Players,Home for Average Age,Home for Possession,Home for Goals,Home for Assists,Home for Goals + Assists,Home for Non-Penalty Goals,Home for Penalty Kicks Made,Home for Penalty Kicks Attempted,Home for Yellow Cards,Home for Red Cards,Home for xG,Home for Non-Penalty xG,Home for xAG,Home for npxG + xAG,Home for Progressive Carries,Home for Progressive Passes,Home for Goals/90,Home for Assists/90,Home for Goals + Assists/90,Home for Non-Penalty Goals/90,Home for Non-Penalty Goals + Assists/90,Home for xG/90,Home for xAG/90,Home for xG + xAG/90,Home for npxG/90,Home for npxG + xAG/90,Home against # of Players,Home against Average Age,Home against Possession,Home against Goals,Home against Assists,Home against Goals + Assists,Home against Non-Penalty Goals,Home against Penalty Kicks Made,Home against Penalty Kicks Attempted,Home against Yellow Cards,Home against Red Cards,Home against xG,Home against Non-Penalty xG,Home against xAG,Home against npxG + xAG,Home against Progressive Carries,Home against Progressive Passes,Home against Goals/90,Home against Assists/90,Home against Goals + Assists/90,Home against Non-Penalty Goals/90,Home against Non-Penalty Goals + Assists/90,Home against xG/90,Home against xAG/90,Home against xG + xAG/90,Home against npxG/90,Home against npxG + xAG/90,Away for # of Players,Away for Average Age,Away for Possession,Away for Goals,Away for Assists,Away for Goals + Assists,Away for Non-Penalty Goals,Away for Penalty Kicks Made,Away for Penalty Kicks Attempted,Away for Yellow Cards,Away for Red Cards,Away for xG,Away for Non-Penalty xG,Away for xAG,Away for npxG + xAG,Away for Progressive Carries,Away for Progressive Passes,Away for Goals/90,Away for Assists/90,Away for Goals + Assists/90,Away for Non-Penalty Goals/90,Away for Non-Penalty Goals + Assists/90,Away for xG/90,Away for xAG/90,Away for xG + xAG/90,Away for npxG/90,Away for npxG + xAG/90,Away against # of Players,Away against Average Age,Away against Possession,Away against Goals,Away against Assists,Away against Goals + Assists,Away against Non-Penalty Goals,Away against Penalty Kicks Made,Away against Penalty Kicks Attempted,Away against Yellow Cards,Away against Red Cards,Away against xG,Away against Non-Penalty xG,Away against xAG,Away against npxG + xAG,Away against Progressive Carries,Away against Progressive Passes,Away against Goals/90,Away against Assists/90,Away against Goals + Assists/90,Away against Non-Penalty Goals/90,Away against Non-Penalty Goals + Assists/90,Away against xG/90,Away against xAG/90,Away against xG + xAG/90,Away against npxG/90,Away against npxG + xAG/90,Home Outcome Score,Away Outcome Score,Home Outcome XG,Away Outcome XG
40.0,27.9,46.1,23.0,18.0,41.0,22.0,1.0,2.0,108.0,3.0,34.1,32.5,24.4,56.9,466.0,1126.0,0.61,0.47,1.08,0.58,1.05,0.9,0.64,1.54,0.85,1.5,40.0,26.7,53.9,69.0,53.0,122.0,61.0,8.0,11.0,79.0,1.0,66.3,57.9,47.6,105.5,723.0,1603.0,1.82,1.39,3.21,1.61,3.0,1.75,1.25,3.0,1.52,2.78,40.0,27.9,46.1,23.0,18.0,41.0,22.0,1.0,2.0,108.0,3.0,34.1,32.5,24.4,56.9,466.0,1126.0,0.61,0.47,1.08,0.58,1.05,0.9,0.64,1.54,0.85,1.5,27.0,26.5,50.1,46.0,35.0,81.0,43.0,3.0,3.0,83.0,1.0,41.4,39.2,30.5,69.7,595.0,1264.0,1.21,0.92,2.13,1.13,2.05,1.09,0.8,1.89,1.03,1.83,0.0,2.0,1.0,2.2
30.0,26.0,55.6,61.0,49.0,110.0,56.0,5.0,5.0,90.0,2.0,58.8,55.1,46.0,101.1,795.0,1584.0,1.61,1.29,2.89,1.47,2.76,1.55,1.21,2.76,1.45,2.66,30.0,26.7,44.4,42.0,32.0,74.0,38.0,4.0,5.0,113.0,1.0,41.1,37.2,31.0,68.2,546.0,1168.0,1.11,0.84,1.95,1.0,1.84,1.08,0.82,1.9,0.98,1.8,30.0,26.0,55.6,61.0,49.0,110.0,56.0,5.0,5.0,90.0,2.0,58.8,55.1,46.0,101.1,795.0,1584.0,1.61,1.29,2.89,1.47,2.76,1.55,1.21,2.76,1.45,2.66,30.0,26.8,52.0,46.0,32.0,78.0,40.0,6.0,7.0,86.0,3.0,51.8,46.7,36.5,83.1,631.0,1462.0,1.21,0.84,2.05,1.05,1.89,1.36,0.96,2.32,1.23,2.19,4.0,2.0,2.3,0.5
31.0,26.6,55.2,46.0,31.0,77.0,41.0,5.0,6.0,90.0,4.0,45.9,41.2,33.8,75.0,708.0,1362.0,1.21,0.82,2.03,1.08,1.89,1.21,0.89,2.1,1.08,1.97,31.0,26.4,44.8,51.0,32.0,83.0,48.0,3.0,3.0,78.0,5.0,51.3,49.0,38.0,87.0,768.0,1449.0,1.34,0.84,2.18,1.26,2.11,1.35,1.0,2.35,1.29,2.29,31.0,26.6,55.2,46.0,31.0,77.0,41.0,5.0,6.0,90.0,4.0,45.9,41.2,33.8,75.0,708.0,1362.0,1.21,0.82,2.03,1.08,1.89,1.21,0.89,2.1,1.08,1.97,28.0,26.6,46.8,41.0,28.0,69.0,36.0,5.0,6.0,66.0,1.0,40.0,35.3,28.2,63.5,524.0,1100.0,1.08,0.74,1.82,0.95,1.68,1.05,0.74,1.79,0.93,1.67,1.0,2.0,1.4,2.1
29.0,24.8,41.3,31.0,21.0,52.0,27.0,4.0,6.0,86.0,2.0,36.1,31.4,25.3,56.7,515.0,1232.0,0.82,0.55,1.37,0.71,1.26,0.95,0.66,1.61,0.83,1.49,29.0,26.7,58.7,43.0,30.0,73.0,38.0,5.0,6.0,90.0,2.0,42.1,37.7,31.6,69.2,613.0,1408.0,1.13,0.79,1.92,1.0,1.79,1.11,0.83,1.94,0.99,1.82,29.0,24.8,41.3,31.0,21.0,52.0,27.0,4.0,6.0,86.0,2.0,36.1,31.4,25.3,56.7,515.0,1232.0,0.82,0.55,1.37,0.71,1.26,0.95,0.66,1.61,0.83,1.49,25.0,26.5,44.3,39.0,34.0,73.0,36.0,3.0,3.0,89.0,1.0,36.5,34.1,29.0,63.1,697.0,1227.0,1.03,0.89,1.92,0.95,1.84,0.96,0.76,1.72,0.9,1.66,1.0,2.0,0.7,2.1
30.0,26.5,56.1,51.0,37.0,88.0,47.0,4.0,6.0,93.0,3.0,55.0,50.8,40.2,91.0,789.0,1627.0,1.34,0.97,2.32,1.24,2.21,1.45,1.06,2.51,1.34,2.39,30.0,26.4,43.9,41.0,28.0,69.0,34.0,7.0,8.0,103.0,7.0,43.4,37.4,30.7,68.1,476.0,922.0,1.08,0.74,1.82,0.89,1.63,1.14,0.81,1.95,0.98,1.79,30.0,26.5,56.1,51.0,37.0,88.0,47.0,4.0,6.0,93.0,3.0,55.0,50.8,40.2,91.0,789.0,1627.0,1.34,0.97,2.32,1.24,2.21,1.45,1.06,2.51,1.34,2.39,33.0,26.6,57.9,68.0,46.0,114.0,63.0,5.0,5.0,66.0,1.0,66.1,62.2,49.1,111.2,763.0,1615.0,1.79,1.21,3.0,1.66,2.87,1.74,1.29,3.03,1.64,2.93,3.0,2.0,2.0,1.3
24.0,28.6,52.1,59.0,37.0,96.0,53.0,6.0,8.0,86.0,2.0,51.1,44.9,34.3,79.2,683.0,1381.0,1.55,0.97,2.53,1.39,2.37,1.35,0.9,2.25,1.18,2.08,24.0,26.5,47.9,29.0,21.0,50.0,28.0,1.0,2.0,108.0,7.0,41.3,39.8,31.5,71.3,598.0,1302.0,0.76,0.55,1.32,0.74,1.29,1.09,0.83,1.92,1.05,1.88,24.0,28.6,52.1,59.0,37.0,96.0,53.0,6.0,8.0,86.0,2.0,51.1,44.9,34.3,79.2,683.0,1381.0,1.55,0.97,2.53,1.39,2.37,1.35,0.9,2.25,1.18,2.08,27.0,26.6,45.3,46.0,29.0,75.0,39.0,7.0,9.0,84.0,2.0,48.7,41.7,31.6,73.3,565.0,1294.0,1.21,0.76,1.97,1.03,1.79,1.28,0.83,2.11,1.1,1.93,2.0,1.0,0.7,1.5
34.0,25.7,47.4,29.0,18.0,47.0,25.0,4.0,4.0,103.0,6.0,41.5,38.5,29.3,67.8,553.0,1163.0,0.76,0.47,1.24,0.66,1.13,1.09,0.77,1.86,1.01,1.78,34.0,27.0,52.6,59.0,41.0,100.0,54.0,5.0,7.0,61.0,2.0,59.5,54.0,43.2,97.2,671.0,1440.0,1.55,1.08,2.63,1.42,2.5,1.57,1.14,2.7,1.42,2.56,34.0,25.7,47.4,29.0,18.0,47.0,25.0,4.0,4.0,103.0,6.0,41.5,38.5,29.3,67.8,553.0,1163.0,0.76,0.47,1.24,0.66,1.13,1.09,0.77,1.86,1.01,1.78,32.0,26.7,52.7,48.0,32.0,80.0,44.0,4.0,6.0,84.0,5.0,58.3,53.7,40.7,94.4,830.0,1684.0,1.26,0.84,2.11,1.16,2.0,1.53,1.07,2.6,1.41,2.48,1.0,0.0,0.5,0.7
30.0,27.2,44.9,46.0,34.0,80.0,44.0,2.0,2.0,85.0,4.0,36.7,35.2,26.9,62.0,519.0,1089.0,1.21,0.89,2.11,1.16,2.05,0.96,0.71,1.67,0.93,1.63,30.0,26.6,55.1,62.0,40.0,102.0,55.0,7.0,11.0,74.0,6.0,67.1,58.0,44.7,102.7,770.0,1624.0,1.63,1.05,2.68,1.45,2.5,1.77,1.18,2.94,1.53,2.7,30.0,27.2,44.9,46.0,34.0,80.0,44.0,2.0,2.0,85.0,4.0,36.7,35.2,26.9,62.0,519.0,1089.0,1.21,0.89,2.11,1.16,2.05,0.96,0.71,1.67,0.93,1.63,30.0,26.6,51.4,37.0,26.0,63.0,35.0,2.0,3.0,124.0,8.0,32.1,29.8,21.8,51.6,636.0,1362.0,0.97,0.68,1.66,0.92,1.61,0.84,0.57,1.42,0.78,1.36,0.0,1.0,0.6,2.4
36.0,26.6,41.2,29.0,22.0,51.0,28.0,1.0,1.0,103.0,3.0,35.8,35.1,28.1,63.2,503.0,1063.0,0.76,0.58,1.34,0.74,1.32,0.94,0.74,1.68,0.92,1.66,36.0,26.6,58.8,56.0,48.0,104.0,55.0,1.0,2.0,69.0,5.0,49.9,48.4,39.2,87.6,603.0,1494.0,1.47,1.26,2.74,1.45,2.71,1.31,1.03,2.35,1.27,2.3,36.0,26.6,41.2,29.0,22.0,51.0,28.0,1.0,1.0,103.0,3.0,35.8,35.1,28.1,63.2,503.0,1063.0,0.76,0.58,1.34,0.74,1.32,0.94,0.74,1.68,0.92,1.66,27.0,26.4,38.2,28.0,18.0,46.0,27.0,1.0,2.0,92.0,4.0,31.8,30.2,24.6,54.8,509.0,1013.0,0.74,0.47,1.21,0.71,1.18,0.84,0.65,1.48,0.8,1.44,2.0,5.0,1.1,2.4
29.0,27.7,49.6,56.0,41.0,97.0,53.0,3.0,6.0,74.0,6.0,55.3,50.4,39.8,90.2,673.0,1394.0,1.47,1.08,2.55,1.39,2.47,1.45,1.05,2.5,1.33,2.37,29.0,26.7,50.4,33.0,25.0,58.0,29.0,4.0,5.0,74.0,2.0,41.6,37.7,31.4,69.1,744.0,1357.0,0.87,0.66,1.53,0.76,1.42,1.09,0.83,1.92,0.99,1.82,29.0,27.7,49.6,56.0,41.0,97.0,53.0,3.0,6.0,74.0,6.0,55.3,50.4,39.8,90.2,673.0,1394.0,1.47,1.08,2.55,1.39,2.47,1.45,1.05,2.5,1.33,2.37,31.0,26.5,50.8,59.0,44.0,103.0,55.0,4.0,4.0,86.0,4.0,49.7,47.1,38.7,85.8,672.0,1349.0,1.55,1.16,2.71,1.45,2.61,1.31,1.02,2.33,1.24,2.26,3.0,0.0,2.0,0.9
